category,flow_id,count,mean,std,p50,p90,p95,max
HTTPS / Remote (Port 443),10.100.110.176:56877->31.13.66.51:443,11,303.946,42.234,290.357,297.309,364.202,431.096
HTTPS / Remote (Port 443),10.100.110.176:57141->104.18.26.48:443,8,9.213,1.315,9.394,10.375,10.906,11.437
HTTPS / Remote (Port 443),10.100.110.176:57181->104.18.26.48:443,5,30.817,20.05,21.16,53.083,54.51,55.936
HTTPS / Remote (Port 443),10.100.110.176:57182->151.101.1.91:443,2,7.403,1.013,7.403,7.976,8.047,8.119
HTTPS / Remote (Port 443),10.100.110.176:57203->17.248.153.80:443,6,21.413,20.262,10.347,47.351,47.559,47.768
HTTPS / Remote (Port 443),10.100.110.176:57204->17.248.239.66:443,6,9.201,1.393,8.441,10.981,11.066,11.151
HTTPS / Remote (Port 443),10.100.110.176:57205->17.248.153.80:443,6,19.596,14.789,15.952,34.395,41.002,47.609
HTTPS / Remote (Port 443),10.100.110.176:57206->17.8.135.181:443,4,9.074,2.691,7.965,11.619,12.344,13.068
HTTPS / Remote (Port 443),10.100.110.176:57207->17.248.153.72:443,6,16.742,15.971,11.664,31.435,40.118,48.8
HTTPS / Remote (Port 443),10.100.110.176:57208->57.144.43.32:443,5,23.481,19.87,19.504,42.437,50.064,57.691
HTTPS / Remote (Port 443),10.100.110.176:57209->17.8.135.99:443,4,10.412,1.915,10.192,12.127,12.542,12.956
HTTPS / Remote (Port 443),10.100.110.176:57210->20.207.73.85:443,4,82.989,27.432,72.726,109.944,116.219,122.495
HTTPS / Remote (Port 443),10.100.110.176:60458->13.89.179.8:443,5,251.966,23.076,241.927,275.086,283.788,292.489
HTTPS / Remote (Port 443),10.100.110.176:60653->140.82.113.22:443,4,260.483,21.282,251.277,280.894,286.417,291.941
HTTPS / Remote (Port 443),10.100.110.176:60654->142.250.205.206:443,4,8.784,2.134,8.772,10.645,11.026,11.408
HTTPS / Remote (Port 443),10.100.110.176:60655->20.207.73.82:443,3,13.41,4.142,11.737,16.849,17.488,18.127
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57141,4,0.187,0.044,0.203,0.216,0.217,0.218
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57181,8,0.162,0.086,0.157,0.276,0.284,0.292
HTTPS / Remote (Port 443),13.107.253.48:443->10.100.110.176:60652,1,0.058,,0.058,0.058,0.058,0.058
HTTPS / Remote (Port 443),13.89.179.8:443->10.100.110.176:60458,3,0.107,0.055,0.13,0.144,0.145,0.147
HTTPS / Remote (Port 443),140.82.113.21:443->10.100.110.176:60645,1,0.101,,0.101,0.101,0.101,0.101
HTTPS / Remote (Port 443),140.82.113.22:443->10.100.110.176:60653,6,41.711,101.84,0.13,124.923,187.258,249.592
HTTPS / Remote (Port 443),142.250.205.206:443->10.100.110.176:60654,6,1.493,3.567,0.044,4.415,6.594,8.773
HTTPS / Remote (Port 443),151.101.1.91:443->10.100.110.176:57182,2,0.158,0.024,0.158,0.172,0.173,0.175
HTTPS / Remote (Port 443),17.248.153.72:443->10.100.110.176:57207,5,2.706,4.832,0.874,7.211,9.264,11.317
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,8,1.829,3.955,0.336,4.28,7.928,11.576
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57205,6,5.719,10.501,0.86,16.046,21.416,26.786
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,10,2.237,4.449,0.175,9.587,10.728,11.869
HTTPS / Remote (Port 443),17.8.135.181:443->10.100.110.176:57206,7,1.658,3.631,0.341,4.26,7.072,9.884
HTTPS / Remote (Port 443),17.8.135.99:443->10.100.110.176:57209,6,2.24,5.139,0.152,6.496,9.613,12.73
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,66,0.179,1.176,0.028,0.067,0.083,9.591
HTTPS / Remote (Port 443),20.207.73.85:443->10.100.110.176:57210,5,2.59,4.944,0.47,7.07,9.25,11.43
HTTPS / Remote (Port 443),31.13.66.51:443->10.100.110.176:56877,7,0.114,0.041,0.101,0.165,0.174,0.182
HTTPS / Remote (Port 443),4.225.11.192:443->10.100.110.176:60641,1,0.058,,0.058,0.058,0.058,0.058
HTTPS / Remote (Port 443),57.144.43.32:443->10.100.110.176:57208,5,3.283,7.127,0.113,9.67,12.852,16.033
Unknown TCP,10.100.110.176:56898->17.242.13.4:5223,2,27.064,27.468,27.064,42.602,44.545,46.487
Unknown TCP,17.242.13.4:5223->10.100.110.176:56898,5,0.119,0.111,0.073,0.23,0.272,0.314
